Site,Country,Model,RepairType,Price,Currency,ExclVAT,VATBasis,Login,URL
akmobilestore.com,Ireland,iPhone 14,aftermarket-soft-oled,60,EUR,60,VAT basis UNKNOWN — shown as listed,YES,https://akmobilestore.com/shop/ncc-soft-oled-iphone-14-screen/
akmobilestore.com,Ireland,iPhone 14 Pro,aftermarket-soft-oled,75,EUR,75,VAT basis UNKNOWN — shown as listed,YES,https://akmobilestore.com/shop/ncc-soft-oled-iphone-14-pro-screen/
akmobilestore.com,Ireland,iPhone 14 Pro Max,aftermarket-soft-oled,70,EUR,70,VAT basis UNKNOWN — shown as listed,YES,https://akmobilestore.com/shop/ncc-soft-oled-iphone-14-pro-max-screen/
akmobilestore.com,Ireland,iPhone 15 Pro,aftermarket-soft-oled,70,EUR,70,VAT basis UNKNOWN — shown as listed,YES,https://akmobilestore.com/shop/ncc-soft-oled-iphone-15-pro-screen/
akmobilestore.com,Ireland,iPhone 15 Pro Max,aftermarket-soft-oled,75,EUR,75,VAT basis UNKNOWN — shown as listed,YES,https://akmobilestore.com/shop/ncc-soft-oled-iphone-15-pro-max-screen/
alphamobile.eu,Bulgaria,iPhone 16,aftermarket-incell,78,EUR,78,VAT basis UNKNOWN — shown as listed,no,http://www.alphamobile.eu/iphone-16-lcd-display-zy-hd-plus
alphamobile.eu,Bulgaria,iPhone 16 Pro,aftermarket-incell,152.88,EUR,152.88,VAT basis UNKNOWN — shown as listed,no,http://www.alphamobile.eu/iphone-16-pro-lcd-display-zy-hd-plus
alphamobile.eu,Bulgaria,iPhone 16 Pro,aftermarket-gx,79,EUR,79,VAT basis UNKNOWN — shown as listed,no,http://www.alphamobile.eu/iphone-16-pro-oled-display-gx
alphamobile.eu,Bulgaria,iPhone 16 Pro,aftermarket-incell,43,EUR,43,VAT basis UNKNOWN — shown as listed,no,http://www.alphamobile.eu/iphone-16-pro-incell-display-jh-hdplus
alphamobile.eu,Bulgaria,iPhone 16 Pro Max,aftermarket-gx,89,EUR,89,VAT basis UNKNOWN — shown as listed,no,http://www.alphamobile.eu/iphone-16-pro-max-oled-display-gx
alphamobile.eu,Bulgaria,iPhone 16 Pro Max,aftermarket-incell,44,EUR,44,VAT basis UNKNOWN — shown as listed,no,http://www.alphamobile.eu/iphone-16-pro-max-incell-display-jh-hdplus
