Country,Site,Type,Status,LoginGated,Prices,URL
Czechia,phonesupport.cz,shop,discovered,no,0,https://shop.phonesupport.cz/nahradni-dily/
Czechia,pointservis.cz,shop,discovered,no,0,https://www.pointservis.cz/iphone-servis-plzen/
Czechia,primestore.cz,shop,discovered,no,0,https://www.primestore.cz/
Czechia,ptmobil.cz,shop,priced,YES,3,https://ptmobil.cz
Czechia,servis-chomutov.cz,buyback,discovered,no,0,https://www.servis-chomutov.cz/vykup-lcd/
Czechia,servis.expert,buyback,discovered,no,0,https://www.servis.expert/Vykup-poskozenych-lcd-panelu-c2_85_3.htm
Czechia,servisdispleje.cz,buyback,login-gated,YES,0,https://servisdispleje.cz/vykup-iphone/
Czechia,servisnidily.cz,shop,priced,YES,8,https://www.servisnidily.cz/
Czechia,shopcom.cz,shop,login-gated,YES,0,https://www.shopcom.cz/nahradni-dily-pro-mobilni-telefony-k1187
Czechia,sintech-shop.cz,shop,login-gated,YES,0,https://www.sintech-shop.cz/kategorie/nahradni-dily-apple-iphone-2/
Czechia,svetiphonu.cz,buyback,discovered,no,0,https://www.svetiphonu.cz/vykup-rozbitych-lcd-displeju/
Czechia,vsekmobilu.cz,shop,priced,YES,2,https://www.vsekmobilu.cz/nahradni-dily-apple/
Czechia,vykupiphone.cz,buyback,login-gated,YES,0,https://www.vykupiphone.cz/phone/iphone-12-mini/
Czechia,vykupmobilu.cz,buyback,discovered,no,0,https://www.vykupmobilu.cz
Denmark,bokmanev.com,shop,priced,no,14,https://bokmanev.com
Denmark,br-electronic.dk,shop,discovered,no,0,https://br-electronic.dk/shop/340-iphone-dele/
Denmark,datamarked.dk,shop,login-gated,YES,0,https://www.datamarked.dk/reservedele_11034.html
Denmark,defektskaerme.dk,buyback,priced,no,27,https://defektskaerme.dk/en/
Denmark,evermart.dk,shop,discovered,no,0,https://www.evermart.dk/skaerm-lcd-til-iphone
Denmark,gsmdele.dk,shop,discovered,no,0,https://www.gsmdele.dk/iphone
Denmark,idoktoren.dk,buyback,login-gated,YES,0,https://idoktoren.dk/saelg-iphone/
Denmark,ihero.dk,buyback,login-gated,YES,0,https://ihero.dk/
Denmark,ipfix.dk,shop,priced,YES,6,https://ipfix.dk
Denmark,iphonerepair.dk,buyback,login-gated,YES,0,https://iphonerepair.dk/salg/
Denmark,mobilex.dk,shop,discovered,no,0,https://www.mobilex.dk/
Denmark,phone-parts.dk,shop,priced,no,4,https://www.phone-parts.dk/skaerme/iphone-skaerme.html
Denmark,re-screen.dk,buyback,discovered,no,0,http://www.re-screen.dk/
Denmark,sparepart.dk,shop,priced,YES,15,https://sparepart.dk/iphone-skaerme-102381/
Denmark,teknikdele.dk,shop,priced,no,16,https://www.teknikdele.dk/kategori/mobilreservdelar/iphone
Denmark,teledele.dk,shop,discovered,no,0,https://teledele.dk/
Denmark,telegiganten.dk,shop,login-gated,YES,0,https://telegiganten.dk
Denmark,telerepair.dk,buyback,login-gated,YES,0,https://telerepair.dk/saelg-iphone/
Denmark,thansen.dk,shop,discovered,no,0,https://www.thansen.dk/elektronik-mobil/mobiltilbehor/apple/iphone-5/iphone-reservedele/
Estonia,apexgsm.com,shop,discovered,no,0,https://apexgsm.com/
Estonia,appleabi.ee,shop,discovered,no,0,https://appleabi.ee/
Estonia,ekraaniabi.ee,shop,discovered,no,0,https://ekraaniabi.ee/phones/iphone-ekraani-vahetus/
Estonia,ekraanivahetus.com,shop,discovered,no,0,https://ekraanivahetus.com/hinnakiri/
Estonia,fixera.ee,shop,discovered,no,0,https://fixera.ee/
Estonia,fixerab2b.eu,shop,priced,no,16,https://fixerab2b.eu/
Estonia,icenter.ee,shop,priced,YES,8,https://icenter.ee/varuosad
Estonia,ioutlet.ee,shop,priced,YES,31,https://ioutlet.ee/shop/
Estonia,iproff.ee,shop,priced,no,1,https://iproff.ee/en/
Estonia,iremont.ee,shop,priced,no,25,https://iremont.ee/repair/iphone/problem/ekraan-katki
Estonia,kaup24.ee,shop,priced,YES,19,https://kaup24.ee/et/mobiiltelefonid-foto-videokaamerad/mobiiltelefonid-ja-aksessuaarid/telefoniosad-ja-parandamise-tooriistad
Estonia,kokkuost.ee,buyback,discovered,no,0,https://kokkuost.ee/mobiiltelefonide-kokkuost/
Estonia,kokkuostame.ee,buyback,discovered,no,0,https://kokkuostame.ee/mobiilide-kokkuost/
Estonia,limikon.ee,shop,discovered,no,0,https://limikon.ee/mobiiltelefoni-pood/
Estonia,lombard24.ee,buyback,priced,no,8,https://lombard24.ee/e-pood/mobiiltelefonid
Estonia,mobifix.ee,shop,discovered,no,0,https://mobifix.ee/telefoni-ekraani-vahetus/
