Site,Country,Model,RepairType,Price,Currency,ExclVAT,VATBasis,Login,URL,CheapestForModelAtShop
bukuwireless.com,USA,iphone 15 pro max,pulled,309.0,USD,309.0,already ex-VAT,no,https://www.bukuwireless.com/iphone-15-pro-max-screen-oem-pull-a-grade,YES
bukuwireless.com,USA,iphone 15 pro max,original,369.9,USD,369.9,already ex-VAT,no,https://www.bukuwireless.com/iphone-15-pro-max-screen-oem-service-pack,no
capitalmovil.com.mx,Mexico,iphone 11,original,220.0,MXN,220.0,VAT basis UNKNOWN — shown as listed,no,https://www.capitalmovil.com.mx/collections/pantallas,YES
capitalmovil.com.mx,Mexico,iphone 11,original,220.0,MXN,220.0,VAT basis UNKNOWN — shown as listed,no,https://www.capitalmovil.com.mx/products/pantalla-iphone-11-incell-para-cambio-de-ic?_pos=4&_sid=06963837b&_ss=r,no
capitalmovil.com.mx,Mexico,iphone 11,original,220.0,MXN,220.0,VAT basis UNKNOWN — shown as listed,no,https://www.capitalmovil.com.mx/products/pantalla-iphone-11-incell-para-cambio-de-ic?_pos=14&_sid=65af8c026&_ss=r,no
cdx.de,Germany,iphone 11,original,3.95,EUR,3.32,stripped 19% VAT,YES,https://www.cdx.de/store/IPHONE-ERSATZTEILE,YES
cdx.de,Germany,iphone 11 pro max,original,36.0,EUR,30.25,stripped 19% VAT,YES,https://www.cdx.de/store/IPHONE-ERSATZTEILE,YES
cdx.de,Germany,iphone 12,original,15.0,EUR,12.61,stripped 19% VAT,YES,https://www.cdx.de/store/IPHONE-ERSATZTEILE,YES
cdx.de,Germany,iphone 12 mini,original,269.0,EUR,226.05,stripped 19% VAT,YES,https://www.cdx.de/store/products/IPHONE-REPARATUR/IPHONE-DISPLAY-REPARATUR/iPhone-12-mini-Display-Reparatur-Black-Original-Apple.html,YES
cdx.de,Germany,iphone 12 pro,original,339.0,EUR,284.87,stripped 19% VAT,YES,https://www.cdx.de/store/products/IPHONE-REPARATUR/IPHONE-DISPLAY-REPARATUR/iPhone-12-12-Pro-Display-Reparatur-Black-Original-Apple.html,YES
cdx.de,Germany,iphone 15,original,145.0,EUR,121.85,stripped 19% VAT,YES,https://www.cdx.de/store/IPHONE-ERSATZTEILE,YES
cdx.de,Germany,iphone 15,original,145.0,EUR,121.85,stripped 19% VAT,YES,https://www.cdx.de/store/products/IPHONE-ERSATZTEILE/IPHONE-15-DISPLAYS/iPhone-15-Display-Original-Erstausruester-1.html,no
cdx.de,Germany,iphone 16 plus,original,70.0,EUR,58.82,stripped 19% VAT,YES,https://www.cdx.de/store/IPHONE-ERSATZTEILE,YES
cdx.de,Germany,iphone 16 pro,original,60.0,EUR,50.42,stripped 19% VAT,YES,https://www.cdx.de/store/IPHONE-ERSATZTEILE,YES
celo.ro,Romania,iphone 11 pro,refurb,249.0,RON,249.0,VAT basis UNKNOWN — shown as listed,YES,https://www.celo.ro/display-iphone/display-original-refurbished-pentru-iphone-11-pro.html,YES
