Site,Country,Type,Model,Category,List,Login,Price,Currency,URL
parts-store.pl,Poland,shop,iphone 13 mini,aftermarket-lcd,aftermarket,no,699.99,PLN,https://parts-store.pl/pol_m_Wyswietlacze_Wyswietlacze-iPhone-524.html
parts-store.pl,Poland,shop,iphone 12 pro max,unknown,aftermarket,no,599.0,PLN,https://parts-store.pl/pol_m_Wyswietlacze_Wyswietlacze-iPhone-524.html
teknikdele.dk,Denmark,shop,iphone 11,aftermarket-lcd,aftermarket,no,159.0,DKK,https://www.teknikdele.dk/kategori/mobilreservdelar/iphone
teknikdele.dk,Denmark,shop,iphone 11 pro max,aftermarket-lcd,aftermarket,no,199.0,DKK,https://www.teknikdele.dk/kategori/mobilreservdelar/iphone
mytrendyphone.eu,Denmark,shop,iphone 14 plus,aftermarket-lcd,aftermarket,YES,63.7,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
mytrendyphone.eu,Denmark,shop,iphone xr,aftermarket-lcd,aftermarket,YES,8.8,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
mytrendyphone.eu,Denmark,shop,iphone 13 mini,aftermarket-lcd,aftermarket,YES,81.6,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
mytrendyphone.eu,Denmark,shop,iphone 14 pro,aftermarket-lcd,aftermarket,YES,318.9,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
teevo.com,China,shop,iphone 15,pulled,A,no,271.49,USD,https://www.teevo.com/products/1557263
teevo.com,China,shop,iphone 15 pro max,original,A,no,352.94,USD,https://www.teevo.com/products/1557266
spainsellers.com,Spain,shop,iphone 11,aftermarket-lcd,aftermarket,no,3.73,EUR,https://www.spainsellers.com/conector-fpc-lcd-para-iphone-11-a2111-a2221-a2223-calidad-premium-p-31592.html
lltrader.com,China,shop,iphone 12 pro max,aftermarket-lcd,aftermarket,no,19.99,USD,https://www.lltrader.com/products/iphone-12-pro-max-screen-replacement-lcd-display-touch-digitizer-assembly?_pos=12&_sid=4a3084294&_ss=r
lltrader.com,China,shop,iphone 12 mini,aftermarket-lcd,aftermarket,no,21.99,USD,https://www.lltrader.com/collections/for-iphone-lcd-screen-replacement/products/for-iphone-12-mini-screen-replacement-lcd-display-touch-digitizer-assembly
lltrader.com,China,shop,iphone 12 pro,aftermarket-lcd,aftermarket,no,15.99,USD,https://www.lltrader.com/products/iphone-12-12-pro-screen-replacement-lcd-display-touch-digitizer-assembly?_pos=7&_sid=4a3084294&_ss=r
hlcwholesale.com,USA,shop,iphone 11 pro,aftermarket-gx,aftermarket,YES,52.12,USD,https://www.hlcwholesale.com/repair-tools/apple-lcd-screen-parts-replacements.html
m9parts.pl,Poland,shop,iphone 16 pro,unknown,aftermarket,no,341.46,PLN,https://m9parts.pl/
iphonescreenwholesale.com,China,shop,iphone 14 plus,unknown,aftermarket,YES,105.15,USD,https://iphonescreenwholesale.com/product/iphone14-plus-screen/
dacein.de,Germany,shop,iphone xr,unknown,aftermarket,no,16.0,EUR,https://www.dacein.de/en
m9parts.pl,Poland,shop,iphone 15 pro,unknown,aftermarket,no,142.28,PLN,https://m9parts.pl/
m9parts.pl,Poland,shop,iphone 14 pro,unknown,aftermarket,no,126.02,PLN,https://m9parts.pl/
parts-store.pl,Poland,shop,iphone 14,aftermarket-lcd,aftermarket,no,359.9,PLN,https://parts-store.pl/pol_m_Wyswietlacze_Wyswietlacze-iPhone-524.html
parts-store.pl,Poland,shop,iphone 16 pro max,unknown,aftermarket,no,1399.0,PLN,https://parts-store.pl/pol_m_Wyswietlacze_Wyswietlacze-iPhone-524.html
parts-store.pl,Poland,shop,iphone 14 plus,aftermarket-soft-oled,aftermarket,no,289.9,PLN,https://parts-store.pl/pol_m_Wyswietlacze_Wyswietlacze-iPhone-524.html
mytrendyphone.eu,Denmark,shop,iphone 13 pro max,unknown,aftermarket,YES,68.8,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
gsm-club.pl,Poland,shop,iphone 12 mini,unknown,aftermarket,no,14.99,PLN,https://gsm-club.pl/
mytrendyphone.eu,Denmark,shop,iphone 11 pro max,unknown,aftermarket,YES,127.5,DKK,https://www.mytrendyphone.eu/shop/iphone-spares-38278s1.html
meintrendyhandy.de,Germany,shop,iphone 11 pro max,unknown,aftermarket,YES,15.2,EUR,https://www.meintrendyhandy.de/shop/old-iphone-11-pro-max-lichtsensor-flexkabel-287927p.html
cdx.de,Germany,shop,iphone 16 plus,original,A,YES,70.0,EUR,https://www.cdx.de/store/IPHONE-ERSATZTEILE
meintrendyhandy.de,Germany,shop,iphone xr,original,A,YES,63.7,EUR,https://www.meintrendyhandy.de/shop/old-iphone-xr-lcd-display-original-qualitat-350148p.html
dacein.de,Germany,shop,iphone xs,unknown,aftermarket,no,16.0,EUR,https://www.dacein.de/en
24hshop.fr,France,shop,iphone 11,aftermarket-incell,aftermarket,no,35.98,EUR,https://24hshop.fr/verre-tactile-ecran-complet-iphone-11-pro-a2215-incell-qualite-premium-reparation-smartphone-affichage-true-tone-lcd-retina-2492.html
dacein.de,Germany,shop,iphone 15 pro max,unknown,aftermarket,no,246.0,EUR,https://www.dacein.de/en
dacein.de,Germany,shop,iphone x,unknown,aftermarket,no,8.33,EUR,https://www.dacein.de/en
iphonescreenwholesale.com,China,shop,iphone 14,unknown,aftermarket,YES,105.15,USD,https://iphonescreenwholesale.com/product/iphone-14-screen/
m9parts.pl,Poland,shop,iphone 12,unknown,aftermarket,no,8.94,PLN,https://m9parts.pl/
parts-store.pl,Poland,shop,iphone 13 pro,unknown,aftermarket,no,459.0,PLN,https://parts-store.pl/pol_m_Wyswietlacze_Wyswietlacze-iPhone-524.html
parts-store.pl,Poland,shop,iphone 15,unknown,aftermarket,no,489.0,PLN,https://parts-store.pl/pol_m_Wyswietlacze_Wyswietlacze-iPhone-524.html
teknikdele.dk,Denmark,shop,iphone 13,aftermarket-lcd,aftermarket,no,199.0,DKK,https://www.teknikdele.dk/kategori/mobilreservdelar/iphone
parts-store.pl,Poland,shop,iphone 16 plus,aftermarket-lcd,aftermarket,no,759.9,PLN,https://parts-store.pl/pol_m_Wyswietlacze_Wyswietlacze-iPhone-524.html
